company,job_title,linkedin_job_id,location,posted_on,posted_date,work_mode,employment_type,skills
Microsoft,SOFTWARE ENGINEER,null,"Bengaluru, Karnataka, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
Microsoft,Software Engineer,null,"Hyderabad, Telangana, India",5 days ago,01-08-2024,5 days ago,5 days ago,null
Microsoft,Applied Sciences IC2,null,"Bengaluru, Karnataka, India",6 days ago,31-07-2024,6 days ago,6 days ago,null
Microsoft,Software Engineer,null,"Bengaluru, Karnataka, India",6 days ago,31-07-2024,6 days ago,6 days ago,null
Microsoft,Software Engineer,null,"Bengaluru, Karnataka, India",4 days ago,02-08-2024,4 days ago,4 days ago,null
Microsoft,Software Engineer I,null,"Bengaluru, Karnataka, India",4 days ago,02-08-2024,4 days ago,4 days ago,null
Microsoft,Software Engineering: Internship Opportunity,null,"Karnataka, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
Microsoft,Software Engineering: Internship Opportunity,null,"Maharashtra, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
Microsoft,Software Engineering: Internship Opportunity,null,"Telangana, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
Microsoft,Software Engineer,null,"Bengaluru, Karnataka, India",1 week ago,05-08-2024,1 week ago,1 week ago,null
Microsoft,Software Engineer,null,"Hyderabad, Telangana, India",5 days ago,01-08-2024,5 days ago,5 days ago,null
Microsoft,Software Engineer,null,"Bengaluru, Karnataka, India",1 week ago,05-08-2024,1 week ago,1 week ago,null
Microsoft,Software Engineer,null,"Bengaluru, Karnataka, India",1 day ago,05-08-2024,1 day ago,1 day ago,null
Microsoft,Software Engineering: Internship Opportunity,null,"Delhi, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
Microsoft,Software Engineering: Internship Opportunity,null,"Haryana, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
Microsoft,Software Engineer,null,"Hyderabad, Telangana, India",5 days ago,01-08-2024,5 days ago,5 days ago,null
Microsoft,Software Engineering: Internship Opportunity,null,"Andhra Pradesh, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
Microsoft,Software Engineering: Internship Opportunity,null,"Uttar Pradesh, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
Microsoft,Software Engineering: Internship Opportunity,null,"Goa, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
Microsoft,Software Engineer,null,"Hyderabad, Telangana, India",5 days ago,01-08-2024,5 days ago,5 days ago,null
Microsoft,Software Engineering: Internship Opportunity,null,"West Bengal, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
Microsoft,Software Engineer,null,"Hyderabad, Telangana, India",5 days ago,01-08-2024,5 days ago,5 days ago,null
Microsoft,Software Engineer,null,"Noida, Uttar Pradesh, India",5 days ago,01-08-2024,5 days ago,5 days ago,null
Microsoft,Senior HR Business Partner,null,"Hyderabad, Telangana, India",1 week ago,05-08-2024,1 week ago,1 week ago,null
Microsoft,Customer Success Account Manager,null,Mumbai Metropolitan Region,1 week ago,05-08-2024,1 week ago,1 week ago,null
Microsoft,Technical Support Engineering,null,"Bengaluru, Karnataka, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
Microsoft,Associate Researcher,null,"Bengaluru, Karnataka, India",null,null,20 hours ago,20 hours ago,null
Microsoft,Technical Support Engineering,null,"Bengaluru, Karnataka, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
Microsoft,Demand Planning,null,"Hyderabad, Telangana, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
Microsoft,Designer II,null,"Bengaluru, Karnataka, India",5 days ago,01-08-2024,5 days ago,5 days ago,null
Microsoft,Data Scientist,null,"Bengaluru, Karnataka, India",2 days ago,04-08-2024,2 days ago,2 days ago,null
Microsoft,Software Engineer,null,"Bengaluru, Karnataka, India",3 days ago,03-08-2024,3 days ago,3 days ago,null
Microsoft,Software Engineering: Internship Opportunity,null,"Madhya Pradesh, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
Microsoft,Software Engineer,null,"Hyderabad, Telangana, India",5 days ago,01-08-2024,5 days ago,5 days ago,null
Microsoft,Software Engineer,null,"Hyderabad, Telangana, India",4 days ago,02-08-2024,4 days ago,4 days ago,null
Microsoft,Software Engineering: Internship Opportunity,null,"Lakshadweep, India",2 weeks ago,04-08-2024,2 weeks ago,2 weeks ago,null
